gkz;gemeinde;wahlberechtigt;abgegeben;ungueltig;gueltig;spoe;0_14;15_29;30_44;45_59;60_74;75;1p;2p;3p;4p;5p;oesterreich;ausland
;Gemeinde Weiz ;;;;;;;;;;;;;;;;;;
61701;Albersdorf-Prebuch;1604;1177;14;1163;221;344;302;436;499;300;154;131;209;173;125;78;1931;104
61708;Fischbach;1287;964;12;952;166;207;239;278;341;260;183;134;110;88;88;95;1489;19
61710;Floing;979;714;7;707;163;172;183;231;295;194;119;86;129;76;77;58;1156;38
61711;Gasen;742;614;4;610;125;160;159;158;217;126;98;47;67;47;58;65;910;8
61716;Markt Hartmannsdorf;2374;1736;16;1720;216;445;502;617;684;421;293;284;295;216;202;114;2785;177
61719;Hofst_tten an der Raab;1710;1212;13;1199;200;341;401;463;533;300;169;209;245;150;133;80;2022;185
61727;Ludersdorf-Wilfersdorf;1881;1298;8;1290;266;356;413;509;574;285;156;229;307;169;126;65;2144;149
61728;Miesenbach bei Birkfeld;582;483;4;479;84;99;130;120;186;104;59;32;35;45;40;56;693;5
61729;Mitterdorf an der Raab;1690;1257;12;1245;276;309;331;403;524;318;175;184;212;160;145;72;1994;66
61730;Mortantsch;1718;1317;17;1300;342;354;354;424;488;295;202;154;223;131;127;100;2060;57
61731;Naas;1139;855;10;845;164;202;242;250;360;202;101;61;111;86;86;91;1323;34
61740;Puch bei Weiz;1736;1229;9;1220;229;307;330;417;509;328;204;164;205;146;136;94;2035;60
61741;Ratten;946;682;2;680;196;159;200;180;269;207;153;115;118;70;54;61;1099;69
61743;Rettenegg;625;470;5;465;113;106;118;113;169;132;111;93;96;56;35;25;732;17
61744;St. Kathrein am Hauenstein;532;423;1;422;79;96;109;110;164;81;87;58;50;44;41;38;640;7
61745;Sankt Kathrein am Offenegg;925;651;3;648;103;130;184;175;283;187;123;66;91;64;61;74;1063;19
61746;St. Margarethen an der Raab;3304;2357;15;2342;379;658;625;865;910;608;405;315;461;296;264;135;3943;128
61748;Sinabelkirchen;3324;2389;24;2365;344;658;765;885;1032;524;332;327;349;305;265;194;3910;286
61750;Strallegg;1592;1278;9;1269;220;301;346;392;435;317;166;122;185;132;132;90;1886;71
61751;Thannhausen;1985;1406;16;1390;303;381;424;458;571;409;205;156;255;179;134;113;2350;98
61756;Anger;3449;2530;21;2509;577;606;678;804;998;649;430;394;490;294;276;138;4034;131
61757;Birkfeld;4231;3105;31;3074;503;693;898;881;1198;827;553;415;474;326;303;260;4905;145
61758;Fladnitz an der Teichalm;1462;1137;11;1126;144;288;312;344;428;248;186;169;151;109;107;106;1764;42
61759;Gersdorf an der Feistritz;1398;1080;14;1066;91;254;274;334;405;243;168;102;132;82;102;112;1651;27
61760;Gleisdorf;8351;5318;41;5277;1069;1555;1855;2314;2450;1523;1013;1496;1408;752;537;253;9702;1008
61761;Gutenberg-Stenzengreith;1446;998;7;991;233;282;267;360;458;244;141;135;167;145;104;78;1715;37
61762;Ilztal;1775;1370;11;1359;232;299;319;440;513;333;204;156;220;158;145;90;2048;60
61763;Passail;3548;2579;19;2560;527;610;748;748;1046;651;483;340;395;264;258;232;4131;155
61764;Pischelsdorf am Kulm;3005;2153;20;2133;352;564;577;757;861;576;340;333;367;278;232;147;3575;100
61765;Sankt Ruprecht an der Raab;4166;2981;17;2964;471;869;918;1194;1182;723;374;488;570;345;298;196;4979;281
61766;Weiz;9047;5914;54;5860;2011;1490;1981;2178;2726;1815;1318;2123;1746;799;466;230;10273;1235
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Min;532;423;1;422;79;96;109;110;164;81;59;32;35;44;35;25;640;5
;Max;9047;5914;54;5860;2011;1555;1981;2314;2726;1815;1318;2123;1746;799;537;260;10273;1235
;Quartil 1 ;1213;909,5;7,5;898,5;163,5;204,5;240,5;264;350,5;225;147;108,5;123,5;84;87;73;1406;35,5
;Mean;2340,419355;1667;14,41935484;1652,580645;335,4516129;428,8709677;489,8064516;575,4193548;687,3548387;433,2258065;280,8064516;294,1290323;318,483871;199,516129;166,3548387;114,1935484;2740,064516;155,4193548
;Median = Q2;1710;1257;12;1245;229;309;331;424;509;300;183;156;212;150;132;94;2022;69
;Range;;;;;;;;;;;;;;;;;;
;Quartil 3 ;3154,5;2255;17;2237,5;348;585;601;752,5;885,5;550;336;321;358;271;245;136,5;3742,5;147