gruene;1p;45_59;;;;;;
22;131;499;;;;;;
4;134;341;;;;;;
5;86;295;;;WEIZ;;;
6;47;217;;;;;;
56;284;684;;;;gruene;1p;45_59
17;209;533;;;min;2;32;164
37;229;574;;;max;201;2123;2726
4;32;186;;;range;199;2091;2562
22;184;524;;;quartil 1;7;108,5;350,5
33;154;488;;;mean;35,64516129;294,1290323;687,3548387
15;61;360;;;quartil 3;40,5;321;885,5
27;164;509;;;median;22;156;509
6;115;269;;;;;;
2;93;169;;;;;;
3;58;164;;;;;;
8;66;283;;;;;;
77;315;910;;;;;;
35;327;1032;;;;;;
6;122;435;;;;;;
29;156;571;;;;;;
49;394;998;;;;;;
40;415;1198;;;;;;
21;169;428;;;;;;
21;102;405;;;;;;
201;1496;2450;;;;;;
41;135;458;;;;;;
16;156;513;;;;;;
16;340;1046;;;;;;
43;333;861;;;;;;
93;488;1182;;;;;;
150;2123;2726;;;;;;